user_id,name,phone_number,city_id
47,Cut Nabila Pradana,+62 (674) 330-5716,3171
48,Asmadi Firmansyah,(090) 018-6782,6471
49,Laila Mustofa,+62 (0438) 431 6325,3173
50,"dr. Zamira Prasetya, S.E.",+62 (582) 978 7378,1371
51,Sutan Kenzie Hidayanto,(055) 322-1361,3172
52,Belinda Mustofa,(0840) 172-9118,3174
53,"Pangestu Kusmawati, S.E.I",+62 (58) 482 1833,6472
54,Dwi Padmasari,+62-017-463-6357,3578
55,Gaman Widodo,+62-027-971-5289,3471
56,Fitriani Mangunsong,+62 (0701) 605 9542,3471
57,Abyasa Hasanah,+62 (668) 674 4635,3173
58,Muhammad Kuswoyo,(078) 265-1048,3471
59,Lukita Prakasa,+62 (077) 336-3672,3471
60,Laswi Firmansyah,(047) 502-1690,7371
61,"R. Parman Dabukke, S.Psi",+62-0565-405-4364,3174
62,Paris Zulaika,+62 (36) 506-5671,1375
63,"H. Capa Marbun, S.T.",+62 (81) 128 4650,3173
64,"R. Ikin Purnawati, S.Farm",+62-27-652-9387,7371
65,Shania Puspasari,+62 (0986) 201-2402,3171
66,Ian Napitupulu,+62 (55) 077 7780,3171
67,dr. Mila Sitompul,+62-0768-332-6615,1371
68,Dartono Wijaya,+62 (0615) 013-3284,3573
69,"Calista Santoso, S.Ked",(0791) 809-6469,3573
70,Gina Sihotang,(0064) 408 0014,3173
71,Wulan Rahayu,+62 (030) 527-9898,3172
72,"dr. Diah Kurniawan, S.Pt",(0966) 835-0577,6471
73,Aisyah Mangunsong,+62-56-367-4230,3175
74,Cut Elma Yolanda,+62-0440-640-1704,3171
75,"Farah Waluyo, M.TI.",(058) 083-4548,3171
76,"Ganjaran Nurdiyanti, S.T.",(066) 052 7144,3173
77,"T. Garang Jailani, S.E.I",+62 (35) 354 6151,6472
78,Nilam Maryati,+62 (34) 621 7955,1375
79,Drs. Intan Zulkarnain,+62 (620) 135-0371,3173
80,"Ir. Kenes Sitompul, S.T.",+62 (505) 209-7529,3578
81,Chelsea Sihombing,0870662328,7371
82,Abyasa Ramadan,+62-051-593-9216,5171
83,R.M. Cawuk Agustina,(0728) 496-5839,3171
84,Bakidin Siregar,+62 (003) 636 9556,3175
85,Liman Wastuti,+62-373-595-5216,7371
86,Shakila Agustina,+62 (091) 616 1435,3578
87,"Ilsa Prakasa, S.H.",+62 (41) 896 6104,3175
88,Putri Waskita,+62 (61) 659 4286,6472
89,Dirja Simanjuntak,+62 (70) 026 9294,6472
90,Pranata Anggriawan,(065) 219-2448,3172
91,Bella Pratama,087 314 5680,3173
92,Victoria Kuswandari,0888735210,1375
93,"Sakura Firgantoro, S.Kom",+62-043-258-2085,5171
94,Laras Pertiwi,+62 (0539) 610 9564,6472
95,Prima Pudjiastuti,+62 (95) 129-0256,3174
96,KH. Rudi Situmorang,+62 (592) 144 3848,3172
97,R.A. Ajeng Siregar,+62 (645) 290-1556,3573
98,Galih Firmansyah,+62 (027) 860-4079,1371
99,Dodo Rahayu,+62-0542-762-8909,3171
100,"Drs. Safina Thamrin, S.Ked",+62 (0396) 108 8494,3171
